Variable,oMEDA,Abs_oMEDA
2673,-0.07368579,0.07368579
2674,12.16559,12.16559
2675,-0.04794779,0.04794779
2676,1.874565,1.874565
2677,0.2440136,0.2440136
2678,0.001900044,0.001900044
2679,0.1986038,0.1986038
2680,-0.1953622,0.1953622
2681,-3.421292,3.421292
2682,0.2751756,0.2751756
2683,0.1977249,0.1977249
2684,-0.01844649,0.01844649
2685,0.105564,0.105564
2686,5.309334,5.309334
2687,0.0583575,0.0583575
2688,3.870163,3.870163
2689,0.06326841,0.06326841
2690,-0.007246034,0.007246034
2691,0.06837693,0.06837693
2692,0.2849107,0.2849107
2693,-0.6348928,0.6348928
2694,-0.009144638,0.009144638
2695,0.7503722,0.7503722
2696,-0.01357587,0.01357587
2697,0.3404372,0.3404372
2698,-0.2417153,0.2417153
2699,0.09382048,0.09382048
2700,-0.265132,0.265132
2701,-0.1769676,0.1769676
2702,0.00198,0.00198
2703,-4.233275,4.233275
2704,0.7462479,0.7462479
2705,0.04128865,0.04128865
2706,0.001405545,0.001405545
2707,1.583909,1.583909
2708,-0.103752,0.103752
2709,-0.09748223,0.09748223
2710,-0.02796113,0.02796113
2711,-6.710536,6.710536
2712,0.1541958,0.1541958
2713,0.1813452,0.1813452
2714,-0.183342,0.183342
2715,-0.2229146,0.2229146
2716,-0.6979741,0.6979741
2717,0.7101587,0.7101587
2718,0.6043784,0.6043784
2719,-0.0007308639,0.0007308639
2720,0.7434693,0.7434693
2721,-4.130531,4.130531
2722,2.152674,2.152674
2723,-3.029503,3.029503
2724,-0.134825,0.134825
2725,4.558837,4.558837
2726,0.02673003,0.02673003
2727,-0.188353,0.188353
2728,0.2909735,0.2909735
2729,0.04209726,0.04209726
2730,-1.040263,1.040263
2731,0.7466651,0.7466651
2732,-1.486989,1.486989
2733,3.986971,3.986971
2734,0.082757,0.082757
2735,-11.80832,11.80832
2736,0.1803537,0.1803537
2737,-0.1008396,0.1008396
2738,-0.2252532,0.2252532
2739,0.01135408,0.01135408
2740,0.003316548,0.003316548
2741,11.97065,11.97065
2742,0.9403311,0.9403311
2743,-5.074966,5.074966
2744,0.02553333,0.02553333
2745,0.3257723,0.3257723
2746,-0.0003127963,0.0003127963
2747,0.3972144,0.3972144
2748,-0.006750511,0.006750511
2749,-10.52755,10.52755
2750,-16.20477,16.20477
2751,-0.3248427,0.3248427
2752,9.317302,9.317302
2753,-3.441653,3.441653
2754,0.1505029,0.1505029
2755,-0.08051465,0.08051465
2756,1.339684,1.339684
2757,0.5739537,0.5739537
2758,-0.004906192,0.004906192
2759,9.993787,9.993787
2760,0.4121788,0.4121788
2761,0.6512433,0.6512433
2762,-0.07666797,0.07666797
2763,-9.638262,9.638262
2764,0.06512512,0.06512512
2765,-0.163415,0.163415
2766,0.07939114,0.07939114
2767,-0.4439716,0.4439716
2768,0.6608499,0.6608499
2769,-0.6070844,0.6070844
2770,-0.27564,0.27564
2771,-0.2783235,0.2783235
2772,0.9522096,0.9522096
2773,-0.2242633,0.2242633
2774,2.748162,2.748162
2775,-0.5686682,0.5686682
2776,0.3142343,0.3142343
2777,0.5090719,0.5090719
2778,-0.379409,0.379409
2779,-1.726793,1.726793
2780,-1.905936,1.905936
2781,0.190929,0.190929
2782,2.904869,2.904869
2783,-1.142435,1.142435
2784,0.1277838,0.1277838
2785,0.2811633,0.2811633
2786,-0.8575636,0.8575636
2787,-0.2066184,0.2066184
2788,-0.7602945,0.7602945
2789,0.1872577,0.1872577
2790,1.939888,1.939888
2791,2.876468,2.876468
2792,-0.4965186,0.4965186
2793,0.5764704,0.5764704
2794,1.288049,1.288049
2795,-1.269545,1.269545
2796,-0.9969212,0.9969212
2797,-1.472942,1.472942
2798,11.79499,11.79499
2799,9.169276,9.169276
2800,-2.334628,2.334628
2801,-4.013302,4.013302
2802,-0.1338131,0.1338131
2803,-8.201718,8.201718
2804,0.006611253,0.006611253
2805,1.771171,1.771171
2806,8.871816,8.871816
2807,0.529548,0.529548
2808,-1.641552,1.641552
2809,-4.316144,4.316144
2810,-0.02319666,0.02319666
2811,14.17923,14.17923
2812,4.268502,4.268502
2813,14.07561,14.07561
2814,1.50729,1.50729
2815,-0.7042156,0.7042156
2816,-1.893904,1.893904
2817,0.8746107,0.8746107
2818,0.001189586,0.001189586
2819,0.6003132,0.6003132
2820,0.01012993,0.01012993
2821,-4.788613,4.788613
2822,1.105842,1.105842
2823,-4.571368,4.571368
2824,-1.214931,1.214931
2825,7.274692,7.274692
2826,-1.428055,1.428055
2827,-0.05307263,0.05307263
2828,-0.57602,0.57602
2829,-12.20055,12.20055
2830,1.462954,1.462954
2831,-8.398414,8.398414
2832,0.5318184,0.5318184
2833,0.277974,0.277974
2834,0.5738527,0.5738527
2835,-1.905731,1.905731
2836,0.7030927,0.7030927
2837,-9.065337,9.065337
2838,-0.001885134,0.001885134
2839,0.03430794,0.03430794
2840,2.730746,2.730746
2841,0.01811809,0.01811809
2842,-0.8222122,0.8222122
2843,0.2450026,0.2450026
2844,-1.058188,1.058188
2845,-11.76536,11.76536
2846,-0.4600661,0.4600661
2847,-14.01454,14.01454
2848,6.468909,6.468909
2849,0.07906236,0.07906236
2850,-0.2277797,0.2277797
2851,0.8234221,0.8234221
2852,-10.26275,10.26275
2853,-2.034648,2.034648
2854,-4.001127,4.001127
2855,-0.2822196,0.2822196
2856,2.448653,2.448653
2857,-0.04058803,0.04058803
2858,-0.4687359,0.4687359
2859,0.5250096,0.5250096
2860,-2.50034,2.50034
2861,-0.01625653,0.01625653
2862,-0.0186248,0.0186248
2863,-0.2987264,0.2987264
2864,1.843891,1.843891
2865,13.34065,13.34065
2866,-0.5703425,0.5703425
2867,-0.3598,0.3598
2868,-0.1904968,0.1904968
2869,-5.671024,5.671024
2870,2.354994,2.354994
2871,-14.87447,14.87447
2872,-0.09217537,0.09217537
2873,0.715976,0.715976
2874,-0.04507952,0.04507952
2875,0.002158704,0.002158704
2876,-6.512992,6.512992
2877,-0.6451471,0.6451471
2878,-1.039227,1.039227
2879,-4.173411,4.173411
2880,-0.2580079,0.2580079
2881,-14.24413,14.24413
2882,3.027131,3.027131
2883,0.2753995,0.2753995
2884,0.4618247,0.4618247
2885,0.1640142,0.1640142
2886,14.13021,14.13021
2887,2.265437,2.265437
2888,11.16849,11.16849
2889,-0.7745545,0.7745545
2890,0.03935111,0.03935111
2891,0.03876481,0.03876481
2892,0.2347579,0.2347579
2893,-0.1686721,0.1686721
2894,-0.8267093,0.8267093
2895,-0.06741457,0.06741457
2896,-0.01765482,0.01765482
2897,-0.3993214,0.3993214
2898,-0.601827,0.601827
2899,-0.7862879,0.7862879
2900,-0.3144809,0.3144809
2901,3.174567,3.174567
2902,-0.007334848,0.007334848
2903,-3.996644,3.996644
2904,0.2457442,0.2457442
2905,-0.8327774,0.8327774
2906,-5.469978,5.469978
2907,-2.108057,2.108057
2908,-6.298433,6.298433
2909,0.02712157,0.02712157
2910,1.563939,1.563939
2911,-18.14737,18.14737
2912,-5.578792,5.578792
2913,-5.354062,5.354062
2914,7.664348,7.664348
2915,9.180199,9.180199
2916,0.1992111,0.1992111
2917,6.517131,6.517131
2918,3.352148,3.352148
2919,0.3241776,0.3241776
2920,-1.06606e-06,1.06606e-06
2921,-12.76504,12.76504
2922,16.74207,16.74207
2923,4.551628,4.551628
2924,0.04592801,0.04592801
2925,3.569399,3.569399
2926,0.5153652,0.5153652
2927,1.063117,1.063117
2928,21.65298,21.65298
2929,-0.91628,0.91628
2930,0.5733289,0.5733289
2931,-1.003661,1.003661
2932,0.2583841,0.2583841
2933,0.9168468,0.9168468
2934,0.6588013,0.6588013
2935,0.4215553,0.4215553
2936,0.6254939,0.6254939
2937,-28.09261,28.09261
2938,0.3481402,0.3481402
2939,1.242595,1.242595
2940,1.334683,1.334683
2941,3.257266,3.257266
2942,10.01337,10.01337
2943,16.23816,16.23816
2944,4.501172,4.501172
2945,0.3211605,0.3211605
2946,0.0881864,0.0881864
2947,0.1078725,0.1078725
2948,-0.02260871,0.02260871
2949,-3.028898,3.028898
2950,-7.806044,7.806044
2951,1.87746,1.87746
2952,1.22315,1.22315
2953,1.057344,1.057344
2954,-0.9493289,0.9493289
2955,-0.00197677,0.00197677
2956,0.006011792,0.006011792
2957,-1.43509,1.43509
2958,0.02515365,0.02515365
2959,0.004567547,0.004567547
2960,0.1344501,0.1344501
2961,-2.017432,2.017432
2962,-2.080969,2.080969
2963,1.344257,1.344257
2964,-2.208852,2.208852
2965,3.837335,3.837335
2966,1.051947,1.051947
2967,-1.344934,1.344934
2968,-1.013094,1.013094
2969,5.653498,5.653498
2970,-0.5264127,0.5264127
2971,-0.0534163,0.0534163
2972,-0.3637957,0.3637957
2973,-0.5821844,0.5821844
2974,-0.02851812,0.02851812
2975,0.09104045,0.09104045
2976,2.586668,2.586668
2977,5.466567,5.466567
2978,-3.070303,3.070303
2979,-0.5229889,0.5229889
2980,0.3511706,0.3511706
2981,-0.9191822,0.9191822
2982,-0.804612,0.804612
2983,3.326396,3.326396
2984,-0.0307825,0.0307825
2985,0.1247739,0.1247739
2986,-4.86114,4.86114
2987,2.457164,2.457164
2988,0.0647537,0.0647537
2989,-3.601485,3.601485
2990,-2.725367,2.725367
2991,0.003652511,0.003652511
2992,-0.693218,0.693218
2993,54.93271,54.93271
2994,0.9447079,0.9447079
2995,-0.1205107,0.1205107
2996,0.2327656,0.2327656
2997,-12.60613,12.60613
2998,-14.6188,14.6188
2999,49.69936,49.69936
3000,17.47223,17.47223
3001,-3.045556,3.045556
3002,0.0668923,0.0668923
3003,-0.01504938,0.01504938
3004,-0.07046811,0.07046811
3005,-7.654108,7.654108
3006,-2.599695,2.599695
3007,0.01854999,0.01854999
3008,3.949518,3.949518
3009,-2.045618,2.045618
3010,0.565635,0.565635
3011,-0.8887049,0.8887049
3012,0.1132427,0.1132427
3013,-4.328272,4.328272
3014,-1.439444,1.439444
3015,4.006134,4.006134
3016,3.74119,3.74119
3017,-0.3221404,0.3221404
3018,0.4956005,0.4956005
3019,-0.03877032,0.03877032
3020,0.5487009,0.5487009
3021,-3.029463,3.029463
3022,-3.540794,3.540794
3023,0.193906,0.193906
3024,2.348735,2.348735
3025,0.4100888,0.4100888
3026,-0.001031734,0.001031734
3027,-5.679341,5.679341
3028,-0.1052396,0.1052396
3029,-0.7755689,0.7755689
3030,-2.976098,2.976098
3031,-0.7189052,0.7189052
3032,0.3943895,0.3943895
3033,0.4840383,0.4840383
3034,-1.566496,1.566496
3035,-0.386576,0.386576
3036,-0.1041106,0.1041106
3037,-12.5411,12.5411
3038,-1.042265,1.042265
3039,-0.05890134,0.05890134
3040,4.028519,4.028519
3041,-0.726406,0.726406
3042,-2.52093,2.52093
3043,0.0004975892,0.0004975892
3044,-3.404991,3.404991
3045,0.08047331,0.08047331
3046,2.24655,2.24655
3047,-0.4418652,0.4418652
3048,3.319384,3.319384
3049,-4.579679,4.579679
3050,2.23044,2.23044
3051,-0.0024229,0.0024229
3052,0.4634413,0.4634413
3053,-0.8726184,0.8726184
3054,9.136544,9.136544
3055,11.48356,11.48356
3056,-0.6422058,0.6422058
3057,-1.104728,1.104728
3058,1.361053,1.361053
3059,0.2004263,0.2004263
3060,-0.02780266,0.02780266
3061,-1.565251,1.565251
3062,1.285459,1.285459
3063,1.518391,1.518391
3064,-0.5298061,0.5298061
3065,-13.54299,13.54299
3066,0.2991282,0.2991282
3067,-0.6169428,0.6169428
3068,0.6144675,0.6144675
3069,-0.1898722,0.1898722
3070,-4.064501,4.064501
