Method,Token,MeanImportancePct,MaxImportancePct,Count
PLS-DA,a,11.913792810222,12.0596412627487,2
PLS-DA,acting,12.4523651337484,13.3341114766822,2
PLS-DA,annoying,12.9246444327468,12.9246444327468,1
PLS-DA,awful,11.9075918214712,11.9075918214712,1
PLS-DA,bad,13.547330505268,13.547330505268,1
PLS-DA,beautiful,10.2437472663848,10.2437472663848,1
PLS-DA,boring,10.3102803963348,10.3102803963348,1
PLS-DA,cast,9.7844780790333,10.3107842705712,2
PLS-DA,charming,9.86900202112693,9.86900202112693,1
PLS-DA,cheap,11.0250094733476,11.0250094733476,1
PLS-DA,completely,9.84697944242795,10.4001818128606,2
PLS-DA,deeply,11.8880487704224,12.088154046676,2
PLS-DA,dialogue,9.33258055554281,10.0630913300107,2
PLS-DA,disliked,13.4204112217589,13.4204112217589,1
PLS-DA,dreadful,13.28463721974,13.28463721974,1
PLS-DA,dull,13.1965560751395,13.1965560751395,1
PLS-DA,dumb,14.8782832901541,14.8782832901541,1
PLS-DA,empty,11.5085799806546,11.5085799806546,1
PLS-DA,ending,8.68066260765168,9.31693442501059,2
PLS-DA,enjoyable,11.1059659550954,11.1059659550954,1
PLS-DA,enjoyed,14.2529417142372,14.2529417142372,1
PLS-DA,felt,11.7489117697453,13.0569740838492,10
PLS-DA,film,10.6909448295271,13.7863191615423,6
PLS-DA,final,10.9699387474173,11.3733762416142,2
PLS-DA,flat,12.5065799755156,12.5065799755156,1
PLS-DA,found,11.6317092843588,13.7600807207697,4
PLS-DA,fresh,13.2329365919437,13.2329365919437,1
PLS-DA,gave,11.4706087762609,11.7571277293955,2
PLS-DA,good,12.6505317676724,12.6505317676724,1
PLS-DA,hated,15.4550252452889,15.965965254676,2
PLS-DA,i,13.2328448346479,14.6140367050171,10
PLS-DA,it,12.1680241758513,12.5535002117656,2
PLS-DA,liked,16.456409373079,16.456409373079,1
PLS-DA,looked,13.1633644762648,13.3775647623384,2
PLS-DA,loved,14.7846543863407,14.7846543863407,1
PLS-DA,lovely,11.8076125658603,11.8076125658603,1
PLS-DA,movie,10.6647804807485,13.7025112967307,10
PLS-DA,moving,12.2258627133802,12.2258627133802,1
PLS-DA,natural,11.1543094394142,11.1543094394142,1
PLS-DA,nice,9.97436311115399,9.97436311115399,1
PLS-DA,overall,11.4804534881487,12.6231830362387,2
PLS-DA,pacing,9.46927481241403,9.88365841391773,2
PLS-DA,painful,11.0381417127061,11.0381417127061,1
PLS-DA,performances,12.0987383150704,12.1808352779278,2
PLS-DA,pleasant,10.9236646573462,10.9236646573462,1
PLS-DA,plot,10.1999750642684,11.322642129014,2
PLS-DA,poor,12.1397113761203,12.1397113761203,1
PLS-DA,poorly,11.7618799032467,11.7618799032467,1
PLS-DA,quite,10.9742736619699,12.1433703877464,4
PLS-DA,really,12.2971687290583,12.3227512287994,2
PLS-DA,satisfying,12.321853066566,12.321853066566,1
PLS-DA,scene,9.11882826180669,9.6138294449296,2
PLS-DA,script,9.47644582597558,9.69454912018913,2
PLS-DA,sharp,13.4269532560811,13.4269532560811,1
PLS-DA,smart,13.2459478481812,13.2459478481812,1
PLS-DA,soundtrack,10.451999896508,11.1867984902916,2
PLS-DA,stale,13.2520570909865,13.2520570909865,1
PLS-DA,story,11.1618267637746,12.3567369135725,4
PLS-DA,strong,11.1287957488856,11.1287957488856,1
PLS-DA,the,11.5272863753094,14.143203173317,24
PLS-DA,this,14.1312620870411,16.7887374857069,14
PLS-DA,throughout,12.3235346454483,13.2555232575239,4
PLS-DA,today,11.3542883043691,13.5767409016151,4
PLS-DA,truly,11.642044461417,11.8881487273968,2
PLS-DA,unpleasant,14.265499013112,14.265499013112,1
PLS-DA,very,10.8081697160532,11.3701854719356,10
PLS-DA,warm,12.6136225502726,13.9705720491867,2
PLS-DA,was,11.5267904046985,13.931994241534,14
PLS-DA,weak,11.7433448026748,11.7433448026748,1
PLS-DA,well,12.9283546501629,12.9283546501629,1
PLS-DA,wooden,9.65056312304234,9.65056312304234,1
PLS-DA,worked,12.8626901227814,13.4596121583175,2
ASCA,a,10.2667823265747,10.5229193159209,2
ASCA,acting,12.0798553801321,12.4850661734367,2
ASCA,annoying,12.6126532314582,12.6126532314582,1
ASCA,awful,12.3262547501029,12.3262547501029,1
ASCA,bad,17.0861510082565,17.0861510082565,1
ASCA,beautiful,9.6838733918541,9.6838733918541,1
ASCA,boring,10.2198442341123,10.2198442341123,1
ASCA,cast,13.1973872654238,13.2318582569425,2
ASCA,charming,9.21119414146304,9.21119414146304,1
ASCA,cheap,10.3383256781597,10.3383256781597,1
ASCA,completely,12.1338960673533,12.3908074676358,2
ASCA,deeply,12.4768661939751,12.5830189814503,2
ASCA,dialogue,10.7417960190589,10.7523356109137,2
ASCA,disliked,11.5290808990662,11.5290808990662,1
ASCA,dreadful,11.8275924627259,11.8275924627259,1
ASCA,dull,13.9825474208524,13.9825474208524,1
ASCA,dumb,16.8097338314614,16.8097338314614,1
ASCA,empty,10.4006964176956,10.4006964176956,1
ASCA,ending,11.7469503323148,12.0218081106691,2
ASCA,enjoyable,8.32767630456704,8.32767630456704,1
ASCA,enjoyed,11.7165791263396,11.7165791263396,1
ASCA,felt,12.7775209934026,14.6734871542377,10
ASCA,film,11.4863418432208,15.1111596278829,6
ASCA,final,11.514383530032,11.6932110082271,2
ASCA,flat,12.5119930669692,12.5119930669692,1
ASCA,found,13.9952357868143,14.609321812197,4
ASCA,fresh,14.3260034473475,14.3260034473475,1
ASCA,gave,12.1636716231109,12.3627206752799,2
ASCA,good,16.9286080834422,16.9286080834422,1
ASCA,hated,14.7606287821766,15.514058469253,2
ASCA,i,12.060159937226,13.4925305310292,10
ASCA,it,14.5940463733518,14.7452446366085,2
ASCA,liked,15.6607979081695,15.6607979081695,1
ASCA,looked,15.3137060632079,15.393684979428,2
ASCA,loved,13.8272598747373,13.8272598747373,1
ASCA,lovely,11.3352166936282,11.3352166936282,1
ASCA,movie,11.3332544713125,14.3246429538926,10
ASCA,moving,10.2183596480393,10.2183596480393,1
ASCA,natural,12.8212360572517,12.8212360572517,1
ASCA,nice,11.2057137467905,11.2057137467905,1
ASCA,overall,13.1317222575102,13.1718974306884,2
ASCA,pacing,11.8684689698328,12.1128498168577,2
ASCA,painful,8.92711339291985,8.92711339291985,1
ASCA,performances,13.31229303499,13.7314538947,2
ASCA,pleasant,11.4361121191829,11.4361121191829,1
ASCA,plot,11.7792905099716,11.8431227720813,2
ASCA,poor,11.0103312360636,11.0103312360636,1
ASCA,poorly,11.646874606826,11.646874606826,1
ASCA,quite,11.1116751304189,11.9426586479138,4
ASCA,really,13.6971938069773,13.7849290577532,2
ASCA,satisfying,11.2727363018784,11.2727363018784,1
ASCA,scene,11.9205843391928,12.3204081962449,2
ASCA,script,10.2497096105637,10.2555500399755,2
ASCA,sharp,13.0096497742459,13.0096497742459,1
ASCA,smart,16.3737610721813,16.3737610721813,1
ASCA,soundtrack,14.799401175879,15.1543484035993,2
ASCA,stale,14.3680344821556,14.3680344821556,1
ASCA,story,13.3075302400743,14.9382833201922,4
ASCA,strong,10.698434690665,10.698434690665,1
ASCA,the,11.5250226720995,13.4243412973188,24
ASCA,this,14.5292966401549,16.8673059762135,14
ASCA,throughout,14.9715238851234,15.5607990931722,4
ASCA,today,15.3454223234286,16.4862234196541,4
ASCA,truly,12.6855480673187,12.8689898310715,2
ASCA,unpleasant,12.6080661753693,12.6080661753693,1
ASCA,very,10.6353651378942,11.23113684756,10
ASCA,warm,12.9829306099895,13.1906229740713,2
ASCA,was,11.9980559688101,16.7492218840841,14
ASCA,weak,12.7326283317313,12.7326283317313,1
ASCA,well,11.8040812916967,11.8040812916967,1
ASCA,wooden,12.1026358968,12.1026358968,1
ASCA,worked,17.1777433399361,17.6240112456444,2
