Method,Token,MeanImportancePct,MaxImportancePct,Count
oMEDA-PCA,satisfying,11.9225486089939,11.9225486089939,1
oMEDA-PCA,scene,10.8184040240591,11.1756484994357,2
oMEDA-PCA,script,9.95951155939638,10.1405816860075,2
oMEDA-PCA,sharp,15.4318377376125,15.4318377376125,1
oMEDA-PCA,smart,16.3606540041839,16.3606540041839,1
oMEDA-PCA,soundtrack,14.3012413509478,14.6449351622305,2
oMEDA-PCA,stale,17.5596257514213,17.5596257514213,1
oMEDA-PCA,story,12.7559432821623,14.5274113361605,4
oMEDA-PCA,strong,11.2526570236288,11.2526570236288,1
oMEDA-PCA,the,11.381602899066,13.2410218209636,24
oMEDA-PCA,this,14.3376747311559,16.8113015238186,14
oMEDA-PCA,throughout,13.5069895812871,13.9494594870225,4
oMEDA-PCA,today,14.1110244363253,15.146940491245,4
oMEDA-PCA,truly,11.9763499708591,12.3496700076316,2
oMEDA-PCA,unpleasant,13.7625985068224,13.7625985068224,1
oMEDA-PCA,very,10.0246623279638,10.982248644507,10
oMEDA-PCA,warm,16.6888929622536,18.0061382643412,2
oMEDA-PCA,was,11.8773968578412,16.2898424747205,14
oMEDA-PCA,weak,11.9075282849816,11.9075282849816,1
oMEDA-PCA,well,13.776713363311,13.776713363311,1
oMEDA-PCA,wooden,11.8963369520992,11.8963369520992,1
oMEDA-PCA,worked,17.0573719286212,17.9011130402043,2
PLS-DA,a,10.197866062603,10.4473979002084,2
PLS-DA,acting,12.0051655337702,12.655033868293,2
PLS-DA,annoying,15.3482071056522,15.3482071056522,1
PLS-DA,awful,14.6843893587419,14.6843893587419,1
PLS-DA,bad,18.0596695090294,18.0596695090294,1
PLS-DA,beautiful,12.0448727093015,12.0448727093015,1
PLS-DA,boring,11.06881785261,11.06881785261,1
PLS-DA,cast,12.7194842890174,13.2775704812065,2
PLS-DA,charming,10.160529227259,10.160529227259,1
PLS-DA,cheap,12.1933299871063,12.1933299871063,1
PLS-DA,completely,11.1636378659287,11.5160605482733,2
PLS-DA,deeply,11.695151795949,11.8488359031045,2
